name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
00009#out1#mnr_input0007,35,27,1.48,5.77,3.96,64,0,0,0.87,2.51,3.92,12.0,5.06,12.0,1.44,1.07,4.0,0.0,1.44,4.0,0.0,0.26,1.48,2.8,0.69,2.46,3.95,1.5,2.46,0.6,0.07,0.0,0.01,0.0,0.0,0.07,0.0,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00009#out1#mnr_input0007,36,27,59.33,249.48,213.85,52,0,0,3.62,12.41,13.96,51.23,23.26,51.23,7.26,3.91,17.57,0.0,7.26,27.0,0.0,0.46,5.11,10.14,1.05,10.88,15.03,5.31,10.88,0.47,0.25,0.11,0.18,0.05,0.25,0.19,0.0,0.05,0.01,0.03,0.17,0.25,0.09,0.18,0.25,0.11,0.17,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00009#out1#mnr_input0007,37,27,21.42,45.43,42.73,64,0,0,3.8,9.45,14.25,40.23,21.05,40.23,6.56,4.31,12.57,0.0,6.56,21.23,0.0,0.34,5.76,8.42,2.51,9.86,17.93,5.21,9.86,0.58,0.28,0.12,0.15,0.09,0.57,0.16,0.0,0.09,0.01,0.02,0.38,0.28,0.0,0.15,0.0,0.09,0.58,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00009#out1#mnr_input0007,35,28,2.15,5.82,4.87,64,0,0,1.12,3.56,4.91,14.7,6.36,14.7,1.64,1.45,3.93,0.0,1.64,6.35,0.0,0.11,2.19,3.52,1.22,2.96,4.67,1.55,2.96,0.74,0.13,0.01,0.02,0.01,0.5,0.13,0.0,0.02,0.0,0.0,0.08,0.07,0.0,0.01,0.0,0.0,0.04,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00009#out1#mnr_input0007,36,28,64.85,268.13,246.5,54,0,0,4.44,12.82,15.75,49.06,25.3,49.06,9.14,3.07,11.57,0.0,9.14,23.06,0.0,0.66,3.87,8.33,1.05,13.68,19.74,8.83,13.68,0.28,0.41,0.16,0.28,0.04,0.13,0.22,0.0,0.04,0.0,0.01,0.17,0.41,0.14,0.28,0.28,0.16,0.5,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00009#out1#mnr_input0007,37,28,30.4,73.48,59.07,64,0,0,4.88,11.58,17.19,45.29,23.71,45.29,7.6,4.22,12.0,0.0,7.6,22.0,0.0,0.44,5.6,8.69,3.85,12.52,18.95,8.64,12.52,0.45,0.29,0.13,0.21,0.05,0.24,0.14,0.0,0.05,0.01,0.02,0.21,0.29,0.09,0.21,0.01,0.14,0.79,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00009#out1#mnr_input0007,35,29,3.2,9.2,7.8,64,0,0,1.3,5.97,5.96,24.51,7.87,24.51,2.09,1.92,5.93,0.0,2.09,8.29,0.0,0.08,2.45,3.64,0.86,3.81,8.19,1.0,3.81,0.64,0.13,0.01,0.02,0.01,0.65,0.13,0.0,0.02,0.0,0.0,0.08,0.09,0.0,0.01,0.0,0.01,0.04,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00009#out1#mnr_input0007,36,29,58.47,319.91,263.54,52,0,0,3.48,13.43,12.56,45.49,21.64,53.42,7.17,3.18,12.14,0.0,7.17,31.64,0.0,0.56,4.05,7.18,0.87,10.52,14.26,7.67,10.52,0.39,0.26,0.11,0.17,0.05,0.27,0.15,0.0,0.05,0.0,0.01,0.21,0.26,0.12,0.17,0.24,0.1,0.12,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00009#out1#mnr_input0007,37,29,32.01,81.33,69.52,64,0,0,4.42,12.55,17.32,46.36,24.15,46.36,7.41,4.63,15.0,0.0,7.41,18.0,0.0,0.38,5.71,8.86,1.96,12.08,17.12,6.88,12.08,0.47,0.28,0.14,0.2,0.08,0.37,0.16,0.0,0.08,0.0,0.02,0.33,0.28,0.15,0.2,0.0,0.13,0.79,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00009#out1#mnr_input0007,35,30,2.87,7.8,6.52,64,0,0,1.28,5.22,5.78,24.0,7.34,24.0,2.08,1.5,8.0,0.0,2.08,7.0,0.0,0.28,2.04,4.55,1.26,3.88,7.38,1.48,3.88,0.52,0.15,0.03,0.04,0.02,0.38,0.13,0.0,0.02,0.0,0.0,0.08,0.15,0.0,0.04,0.0,0.01,0.21,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
