name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
00046#out1#mnr_input0018,36,70,263.52,892.49,860.13,38,19,0,7.0,31.8,24.78,114.64,43.99,137.78,13.55,7.03,33.5,0.0,13.55,57.0,0.0,0.48,7.94,20.25,2.2,18.31,31.25,6.33,18.31,0.43,0.48,0.23,0.33,0.13,0.39,0.39,0.0,0.13,0.21,0.07,0.04,0.48,0.1,0.33,0.43,0.24,0.25,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00046#out1#mnr_input0018,37,70,1123.72,2554.49,2348.76,0,58,7,19.78,48.3,71.89,178.14,126.43,214.43,31.37,31.37,84.0,0.0,30.62,71.0,1.0,0.02,37.11,58.79,18.87,35.58,42.62,22.83,37.11,0.96,0.86,0.64,0.65,0.64,0.98,0.86,0.3,0.64,0.78,0.58,0.42,0.76,0.47,0.65,0.81,0.56,0.46,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00046#out1#mnr_input0018,38,70,457.98,2412.47,1907.18,30,25,2,9.29,33.51,31.42,111.64,54.98,212.42,19.72,8.21,54.5,0.0,19.72,76.07,0.0,0.58,10.08,19.42,3.56,21.74,31.03,14.54,21.74,0.46,0.61,0.3,0.42,0.17,0.42,0.46,0.0,0.17,0.2,0.1,0.25,0.61,0.21,0.42,0.58,0.3,0.25,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00046#out1#mnr_input0018,36,71,433.62,2071.08,1774.14,39,23,2,8.46,36.28,29.01,129.71,49.98,197.5,14.41,9.49,69.49,0.0,14.41,76.86,0.0,0.34,12.62,47.5,1.17,20.45,38.88,3.83,20.45,0.62,0.79,0.29,0.38,0.21,0.54,0.79,0.0,0.21,0.3,0.15,0.08,0.63,0.0,0.38,0.51,0.28,0.25,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00046#out1#mnr_input0018,37,71,1871.15,3762.19,3524.78,2,55,32,24.89,57.47,80.87,192.28,138.63,232.92,52.19,52.19,108.57,0.08,19.24,70.0,0.0,0.63,75.3,90.48,59.18,15.13,35.6,9.17,75.3,0.2,0.93,0.64,0.87,0.41,0.47,0.93,0.86,0.87,1.0,1.0,0.38,0.73,0.17,0.41,0.67,0.18,0.21,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00046#out1#mnr_input0018,38,71,1485.75,3731.94,3496.81,0,60,17,18.87,57.81,62.82,188.93,128.44,236.06,43.19,43.19,112.0,0.5,21.99,52.5,1.0,0.49,54.59,63.71,33.51,17.92,23.5,9.83,54.59,0.33,0.93,0.64,0.84,0.44,0.53,0.93,0.65,0.84,0.95,0.89,0.5,0.56,0.31,0.44,0.76,0.23,0.08,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00046#out1#mnr_input0018,37,72,1648.31,4238.51,3860.57,4,49,26,19.66,41.12,64.31,139.13,120.11,221.48,42.56,42.56,112.2,1.57,15.98,48.43,0.0,0.62,60.89,76.08,41.21,11.17,16.47,7.67,60.89,0.18,0.93,0.63,0.86,0.4,0.46,0.93,0.75,0.86,1.0,0.94,0.42,0.53,0.13,0.4,0.66,0.11,0.29,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00046#out1#mnr_input0018,38,72,1442.72,4344.88,3796.58,2,57,13,18.82,60.05,62.8,218.78,123.53,233.86,39.32,39.32,126.43,1.57,22.99,64.5,0.0,0.42,47.22,79.06,11.29,22.2,31.12,10.5,47.22,0.47,0.87,0.61,0.7,0.52,0.74,0.87,0.2,0.7,0.86,0.7,0.33,0.65,0.33,0.52,0.8,0.31,0.25,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00046#out1#mnr_input0018,37,73,609.18,2436.95,2127.66,25,27,2,10.82,41.42,36.68,143.93,66.82,190.28,20.09,20.09,89.0,0.0,13.2,66.28,0.0,0.34,26.16,55.21,5.42,15.53,25.93,7.93,26.16,0.59,0.84,0.42,0.46,0.39,0.84,0.84,0.0,0.46,0.5,0.38,0.5,0.65,0.02,0.39,0.67,0.19,0.08,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
00046#out1#mnr_input0018,38,73,617.34,1831.99,1627.1,21,33,0,11.56,52.97,40.71,189.07,78.12,199.92,23.48,23.48,89.5,0.0,17.67,61.63,0.0,0.25,31.32,67.31,6.76,21.01,36.02,8.33,31.32,0.67,0.88,0.47,0.5,0.45,0.9,0.88,0.08,0.5,0.5,0.46,0.54,0.62,0.27,0.45,0.62,0.29,0.33,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
