name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
001_OnlineNews#out1#mnr_input0007,66,1,648.94,3789.46,3280.04,34,18,10,14.11,63.46,54.55,246.55,76.42,298.37,21.15,15.9,93.04,0.35,21.15,116.05,0.09,0.25,17.3,26.71,8.02,39.39,104.18,8.91,39.39,0.44,1,0.42,0.45,0.39,0.87,0.72,0.11,0.39,0.45,0.22,0.54,1,0.12,0.45,0.37,0.45,0.62,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,67,1,1171.66,4003.64,3802.55,13,32,18,21.47,96.16,93.32,447.56,121.07,447.56,35.4,28.85,129.24,0.33,35.4,163.87,0.01,0.19,31.44,56.14,5.99,64.2,213.25,23.1,64.2,0.49,1,0.61,0.67,0.56,0.83,0.98,0.07,0.56,0.62,0.48,0.54,1,0.27,0.67,0.62,0.68,0.79,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,68,1,879.99,3201.71,2946.74,10,29,11,17.54,61.83,66.88,259.86,98.58,282.88,25.67,23.12,92.86,0.8,25.67,119.24,0.14,0.1,26.41,39.6,14.41,50.43,89.67,10.76,50.43,0.52,1,0.58,0.69,0.48,0.7,0.78,0.24,0.48,0.51,0.39,0.58,1,0.1,0.69,0.66,0.71,0.71,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,69,1,260.37,2500.06,1596.81,27,9,1,8.66,30.79,41.4,154.58,56.3,169.65,17.95,12.54,52.22,0.08,17.95,87.76,0.04,0.3,23.04,29.34,15.85,23,34.92,17.33,23.04,1,0.55,0.36,0.37,0.35,0.93,0.52,0.18,0.35,0.14,0.33,0.83,0.55,0.23,0.37,0.22,0.33,0.79,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,59,2,131,3175.77,1426.57,59,4,2,5.03,51.42,15.51,180.7,24.11,185.7,5.89,5.32,74.43,0,5.89,23.57,0.14,0.1,6.33,8.88,1.95,11.96,16.04,8.42,11.96,0.53,0.27,0.14,0.2,0.08,0.4,0.22,0,0.08,0,0.03,0.33,0.27,0.09,0.2,0.01,0.13,0.75,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,60,2,2541.33,5051.94,4794.35,1,55,40,49.48,131.3,175.69,520.38,221.82,520.38,71.38,38.13,114.79,0.74,71.38,191,0.08,0.47,48.48,66.89,32.91,158.62,292.46,26.41,158.62,0.31,1,0.84,0.85,0.82,0.96,1,0.62,0.82,0.94,0.76,0.62,1,0.4,0.85,0.78,0.86,1,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,61,2,2430.97,4884.16,4634.37,0,58,43,50.08,132.31,176.72,497.14,221.44,497.14,76.68,36.86,104.77,0.3,76.68,171.43,0.83,0.52,46.01,63.27,17.79,154.01,265,10.76,154.01,0.3,1,0.81,0.84,0.78,0.93,1,0.43,0.78,0.85,0.74,0.71,1,0.18,0.84,0.77,0.89,0.92,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,62,2,552.75,3893.5,3575.47,40,12,8,13.67,121.07,56.68,457.08,71.26,457.08,24.24,15.08,130.21,0.07,24.24,154.3,0.43,0.38,22.63,58.99,9.45,36.71,126,11.39,36.71,0.62,1,0.41,0.47,0.36,0.77,0.99,0.11,0.36,0.27,0.32,0.62,1,0.19,0.47,0.32,0.43,0.88,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,66,2,3470.41,5828.76,5578.71,0,64,51,44.67,103.64,158,373.83,209.29,402.84,71.91,29.28,107.5,0.08,71.91,177.98,0.17,0.59,35.86,51.33,13.6,134.74,236.09,31.02,134.74,0.27,1,0.79,0.89,0.69,0.78,0.94,0.22,0.69,0.9,0.56,0.46,1,0.45,0.89,0.9,0.93,0.79,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,67,2,2741.8,5548.41,5165.55,0,63,42,33.76,90.75,130.84,362.03,190.92,379.67,65.22,30.36,108.03,0.91,65.22,159.77,1.53,0.53,40.96,72.86,14.2,100.1,132.99,33.08,100.1,0.41,1,0.8,0.92,0.68,0.74,1,0.13,0.68,0.77,0.62,0.58,1,0.63,0.92,0.99,0.94,0.71,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
