name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
001_OnlineNews#out1#mnr_input0007,37,3,35.03,114.68,104.92,61,0,0,2.38,7.24,8.06,28.0,18.89,32.57,4.95,3.78,9.0,0.0,4.95,12.57,0.0,0.24,2.64,3.8,1.76,7.72,11.0,3.74,7.72,0.34,0.14,0.04,0.08,0.01,0.11,0.04,0.0,0.01,0.02,0.0,0.0,0.14,0.02,0.08,0.04,0.05,0.21,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,38,3,46.63,198.38,180.83,50,0,0,1.36,5.09,4.56,15.71,15.56,44.0,6.79,1.79,8.0,0.0,6.79,19.0,0.0,0.74,2.07,3.33,0.67,4.05,6.38,2.33,4.05,0.51,0.12,0.05,0.1,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.1,0.18,0.0,0.08,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,32,4,5.71,13.56,12.98,64,0,0,0.74,2.33,2.69,9.0,7.21,13.0,2.31,1.36,4.0,0.0,2.31,5.0,0.0,0.41,1.63,2.5,1.17,1.92,3.0,1.0,1.92,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,37,4,17.11,62.93,55.0,64,0,0,1.06,4.24,3.51,13.86,11.61,27.86,3.16,3.16,9.0,0.0,2.64,9.0,0.0,0.16,2.01,2.74,1.26,2.24,4.67,0.93,2.24,0.9,0.1,0.02,0.02,0.02,0.72,0.08,0.0,0.02,0.05,0.0,0.0,0.1,0.0,0.02,0.02,0.0,0.04,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,38,4,42.4,123.73,119.31,55,0,0,1.23,3.28,3.85,10.5,15.41,33.5,6.75,1.08,3.0,0.0,6.75,15.5,0.0,0.84,1.29,1.83,0.83,3.51,4.17,2.33,3.51,0.37,0.15,0.07,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.11,0.13,0.3,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,30,5,18.02,75.58,63.19,64,0,0,1.07,3.44,3.62,11.0,11.41,27.0,3.77,3.77,12.0,0.0,2.0,6.0,0.0,0.47,2.9,4.33,1.67,1.13,2.0,0.67,2.9,0.39,0.05,0.02,0.04,0.0,0.0,0.05,0.02,0.04,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,31,5,8.43,28.69,26.48,64,0,0,0.66,2.67,2.39,9.0,7.49,16.0,2.92,2.92,7.0,0.0,0.83,3.0,0.0,0.72,1.79,2.5,1.33,1.06,1.67,0.67,1.79,0.59,0.02,0.0,0.01,0.0,0.0,0.02,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,32,5,9.04,24.32,20.94,64,0,0,0.85,2.78,2.85,10.0,8.76,14.0,3.19,3.19,7.0,0.0,1.26,4.0,0.0,0.6,1.89,2.71,1.29,1.4,2.5,0.64,1.89,0.74,0.03,0.01,0.02,0.0,0.0,0.03,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,36,5,0.81,1.91,1.79,64,0,0,0.5,1.57,2.15,7.43,3.26,7.43,0.83,0.83,2.43,0.0,0.77,2.0,0.0,0.07,1.42,2.26,0.55,1.12,2.36,0.26,1.42,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,37,5,5.62,32.41,19.76,64,0,0,0.89,2.71,2.94,9.14,7.17,19.0,2.37,1.07,3.57,0.0,2.37,6.0,0.0,0.55,1.06,1.62,0.52,2.36,3.33,1.55,2.36,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,38,5,45.67,114.72,111.76,57,0,0,1.11,3.01,3.71,10.0,17.05,33.57,7.03,1.58,6.0,0.0,7.03,14.57,0.0,0.78,1.45,2.19,1.0,2.79,3.64,2.02,2.79,0.52,0.16,0.07,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.12,0.15,0.33,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,40,5,27.08,107.99,99.12,61,0,0,1.62,4.73,5.37,14.0,14.64,31.43,5.13,2.24,9.0,0.0,5.13,13.57,0.0,0.56,2.29,4.1,1.17,3.54,4.74,1.59,3.54,0.65,0.07,0.02,0.03,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.03,0.08,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,41,5,20.0,57.78,49.32,64,0,0,1.49,7.67,4.99,26.0,14.5,27.0,3.82,3.82,15.57,0.0,3.48,8.0,0.0,0.09,3.3,5.17,2.29,3.46,5.5,1.48,3.46,0.95,0.09,0.02,0.02,0.01,0.62,0.09,0.0,0.02,0.01,0.0,0.08,0.07,0.0,0.01,0.01,0.0,0.04,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,42,5,4.79,31.12,18.99,64,0,0,0.84,3.32,2.98,11.57,6.64,16.57,1.89,1.89,4.57,0.0,1.63,10.43,0.0,0.14,1.82,2.52,1.25,1.66,2.83,0.37,1.82,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,30,6,3.17,8.02,7.42,64,0,0,0.56,1.56,2.07,6.0,5.12,11.0,1.66,1.66,5.0,0.0,0.97,4.0,0.0,0.42,1.46,2.0,1.0,0.69,0.83,0.33,1.46,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,31,6,2.0,7.14,5.42,64,0,0,0.38,1.33,1.49,5.0,4.15,8.0,1.16,1.16,4.0,0.0,0.89,2.0,0.0,0.23,1.02,1.67,0.67,0.69,1.0,0.33,1.02,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,35,6,4.92,18.99,17.66,64,0,0,0.67,2.39,2.44,7.5,6.01,16.0,1.5,1.48,5.0,0.0,1.5,6.0,0.0,0.02,1.15,1.67,0.67,1.6,2.42,0.92,1.6,0.71,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
001_OnlineNews#out1#mnr_input0007,36,6,4.38,14.22,12.66,64,0,0,0.71,2.22,2.93,9.71,6.14,11.71,1.62,1.62,6.0,0.0,1.42,5.0,0.0,0.13,1.99,3.17,1.26,1.61,2.0,0.74,1.99,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
