name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
003_1#out1#mnr_input0007,16,19,147.56,2227.54,1549.12,56,4,2,3.2,14.81,11.07,54.43,23.56,168.71,5.63,4.27,35.71,0.0,5.63,28.86,0.0,0.24,5.1,8.69,3.06,7.08,18.79,2.33,7.08,0.72,0.32,0.07,0.1,0.05,0.54,0.17,0.0,0.05,0.07,0.02,0.08,0.32,0.0,0.1,0.05,0.05,0.29,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,41,19,5.17,27.16,20.82,64,0,0,1.26,5.89,5.06,22.0,7.32,22.0,2.02,2.02,9.0,0.0,1.26,6.0,0.0,0.38,2.66,5.11,0.95,1.87,3.02,1.0,2.66,0.7,0.13,0.02,0.03,0.0,0.0,0.13,0.0,0.03,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,42,19,54.23,911.39,567.96,59,3,0,2.12,10.61,7.33,49.36,14.81,113.39,3.32,3.03,24.01,0.0,3.32,22.0,0.0,0.09,2.83,4.88,1.6,2.68,6.3,0.67,2.83,0.95,0.17,0.03,0.03,0.02,0.6,0.13,0.0,0.02,0.05,0.0,0.0,0.17,0.0,0.03,0.06,0.0,0.04,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,14,20,271.76,5521.35,3073.98,55,5,3,3.99,58.37,13.41,237.0,23.61,265.0,4.61,4.61,18.0,0.0,2.31,8.0,0.0,0.5,2.94,6.0,0.67,1.17,1.67,0.83,2.94,0.4,0.14,0.03,0.04,0.01,0.29,0.14,0.0,0.04,0.09,0.0,0.0,0.07,0.0,0.01,0.03,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,15,20,1576.41,5144.7,4988.16,22,30,24,15.08,67.56,50.49,221.0,103.28,298.36,31.84,31.84,115.0,0.36,15.03,100.0,0.0,0.53,36.31,55.67,25.17,6.69,15.33,1.33,36.31,0.18,0.84,0.48,0.74,0.23,0.31,0.84,0.65,0.74,1.0,0.57,0.46,0.48,0.0,0.23,0.46,0.05,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,16,20,2684.25,6951.51,6559.43,12,49,40,21.07,54.0,71.56,179.0,144.66,316.0,43.9,28.61,134.0,0.0,43.9,123.0,0.0,0.35,31.73,62.33,9.67,52.56,75.83,32.17,52.56,0.6,0.93,0.67,0.78,0.56,0.72,0.93,0.21,0.56,0.6,0.48,0.62,0.87,0.68,0.78,1.0,0.81,0.25,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,25,20,1218.04,4165.81,3950.48,28,32,19,12.48,48.26,43.24,156.79,92.85,257.65,23.45,18.05,74.43,0.0,23.45,114.0,0.0,0.23,16.17,23.27,3.25,30.8,48.17,15.83,30.8,0.53,0.81,0.49,0.54,0.44,0.8,0.62,0.07,0.44,0.7,0.21,0.25,0.81,0.27,0.54,0.6,0.47,0.54,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,32,20,607.29,3198.2,2800.69,32,19,7,11.78,50.65,43.0,233.15,72.9,233.15,20.22,20.22,93.07,0.22,11.46,41.0,0.0,0.43,26.14,39.67,14.84,5.77,11.0,1.83,26.14,0.22,0.87,0.38,0.59,0.17,0.29,0.87,0.23,0.59,0.74,0.38,0.62,0.49,0.0,0.17,0.36,0.03,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,33,20,1051.85,3625.54,3082.57,11,40,10,12.86,40.46,43.41,145.5,97.3,213.14,26.48,20.95,69.0,0.29,26.48,83.0,0.0,0.21,21.11,37.05,3.54,31.7,45.67,18.76,31.7,0.67,0.78,0.53,0.59,0.47,0.79,0.78,0.0,0.47,0.7,0.3,0.25,0.78,0.35,0.59,0.76,0.49,0.42,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,39,20,3.43,22.35,19.71,64,0,0,0.82,3.62,2.95,13.29,3.39,15.29,0.82,0.82,6.22,0.0,0.69,5.21,0.0,0.15,0.62,0.88,0.29,0.45,0.71,0.0,0.62,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,41,20,657.89,2933.63,2593.77,37,24,9,9.34,40.6,31.01,137.0,64.71,209.39,19.79,19.79,78.23,0.13,8.82,61.72,0.0,0.55,23.8,39.84,18.53,4.29,9.58,1.26,23.8,0.18,0.81,0.37,0.61,0.13,0.22,0.81,0.43,0.61,0.87,0.34,0.5,0.45,0.0,0.13,0.28,0.02,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,42,20,1278.99,3008.34,2880.6,9,44,19,14.37,38.82,48.14,137.45,102.79,200.53,26.12,26.12,87.79,0.51,19.34,67.15,0.0,0.26,30.0,46.61,11.87,20.51,26.17,10.27,30.0,0.68,0.8,0.51,0.56,0.45,0.81,0.8,0.18,0.56,0.79,0.45,0.25,0.65,0.1,0.45,0.72,0.28,0.17,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
