name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
004_pal_un_ds_hvdefinition#out1#mnr_input0007,9,12,618.7,3631.73,2921.25,31,22,4,10.64,38.06,33.94,128.0,58.01,245.0,21.94,21.94,88.0,0.0,5.25,50.0,0.0,0.76,20.29,28.33,15.81,5.38,10.33,3.0,20.29,0.27,0.7,0.36,0.62,0.1,0.16,0.7,0.56,0.62,0.89,0.28,0.62,0.47,0.0,0.1,0.12,0.02,0.21,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
004_pal_un_ds_hvdefinition#out1#mnr_input0007,17,12,638.63,3615.35,2803.26,31,23,4,11.08,39.99,35.75,128.29,57.9,237.0,21.5,21.5,92.0,0.0,6.86,47.0,0.0,0.68,21.73,30.14,15.33,5.91,8.67,3.17,21.73,0.27,0.68,0.37,0.58,0.15,0.26,0.68,0.51,0.58,0.88,0.3,0.42,0.44,0.0,0.15,0.13,0.02,0.42,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
004_pal_un_ds_hvdefinition#out1#mnr_input0007,62,12,520.44,2724.17,2281.67,31,21,3,9.87,31.33,30.64,114.0,49.3,212.0,18.86,18.86,70.0,0.0,5.31,71.0,0.0,0.72,17.4,22.17,14.83,3.65,10.0,1.83,17.4,0.21,0.63,0.29,0.53,0.06,0.11,0.63,0.43,0.53,0.86,0.23,0.33,0.33,0.0,0.06,0.06,0.01,0.12,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
004_pal_un_ds_hvdefinition#out1#mnr_input0007,8,13,913.94,4002.69,3683.16,34,24,14,12.31,60.89,48.6,190.0,79.51,297.71,19.64,19.64,102.0,0.0,17.08,91.71,0.0,0.13,28.28,47.83,11.5,21.11,43.9,5.67,28.28,0.75,0.84,0.49,0.54,0.45,0.83,0.84,0.21,0.54,0.65,0.42,0.5,0.76,0.07,0.45,0.53,0.29,0.54,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
004_pal_un_ds_hvdefinition#out1#mnr_input0007,18,13,1129.16,4406.13,3769.11,31,29,20,16.09,82.29,58.83,261.0,92.17,303.28,25.39,25.39,154.28,0.0,19.74,90.0,0.0,0.22,35.96,59.83,16.14,19.45,45.95,6.67,35.96,0.54,0.93,0.54,0.67,0.42,0.62,0.93,0.29,0.67,0.74,0.56,0.71,0.72,0.08,0.42,0.55,0.26,0.37,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
004_pal_un_ds_hvdefinition#out1#mnr_input0007,53,13,1038.83,3762.54,3265.34,30,29,19,14.0,58.97,50.56,205.72,84.89,279.0,20.56,20.56,126.0,0.0,16.31,83.0,0.0,0.21,32.46,82.0,2.33,17.71,39.33,6.17,32.46,0.55,0.93,0.46,0.56,0.37,0.66,0.93,0.0,0.56,0.74,0.44,0.33,0.74,0.07,0.37,0.54,0.23,0.21,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
004_pal_un_ds_hvdefinition#out1#mnr_input0007,63,13,771.11,3262.54,3049.5,36,24,13,10.33,53.38,36.45,183.29,67.31,244.71,17.03,15.58,83.71,0.0,17.03,80.0,0.0,0.09,19.24,32.93,3.0,15.07,29.12,4.0,19.24,0.78,0.81,0.4,0.47,0.32,0.69,0.81,0.0,0.47,0.63,0.27,0.46,0.67,0.0,0.32,0.52,0.19,0.12,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
004_pal_un_ds_hvdefinition#out1#mnr_input0007,7,14,909.68,4114.44,3711.71,34,25,13,11.06,45.67,43.89,146.56,78.79,297.85,19.28,17.12,96.0,0.0,19.28,94.85,0.0,0.11,20.77,43.17,5.0,24.65,47.28,6.83,24.65,0.84,0.79,0.48,0.52,0.44,0.85,0.76,0.09,0.44,0.57,0.29,0.42,0.79,0.08,0.52,0.65,0.36,0.5,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
004_pal_un_ds_hvdefinition#out1#mnr_input0007,19,14,1178.69,3214.49,3058.02,24,35,20,15.25,79.56,54.86,256.0,100.88,294.85,27.12,22.2,87.0,0.0,27.12,92.85,0.0,0.18,25.83,61.26,7.83,29.92,55.52,12.0,29.92,0.86,0.93,0.57,0.62,0.53,0.85,0.93,0.08,0.53,0.69,0.38,0.42,0.84,0.26,0.62,0.78,0.45,0.54,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
004_pal_un_ds_hvdefinition#out1#mnr_input0007,52,14,1109.0,3385.33,3118.34,23,33,16,13.25,43.7,52.45,184.0,95.22,261.0,21.93,20.86,100.0,0.0,21.93,103.0,0.0,0.05,26.51,47.33,6.33,28.66,53.93,8.0,28.66,0.93,0.83,0.53,0.55,0.51,0.92,0.79,0.01,0.51,0.69,0.39,0.29,0.83,0.09,0.55,0.77,0.43,0.25,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
