name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,row_diff_mean,row_diff_max,col_diff_mean,col_diff_max,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
05.02.25#out1#mnr_input0012,36,34,582.75,5019.73,4885.55,52,12,7,5.21,32.78,18.5,117.0,38.41,267.0,10.34,4.8,63.0,0.0,10.34,95.0,0.0,0.54,6.25,27.5,1.5,14.42,25.17,2.67,14.42,0.43,0.69,0.22,0.35,0.1,0.27,0.69,0.0,0.1,0.11,0.05,0.12,0.64,0.0,0.35,0.49,0.18,0.33,9.55,55.38,3.25,8.88,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,41,34,739.64,5646.84,5310.68,50,12,11,9.0,47.78,30.36,168.0,49.27,296.0,21.0,5.36,51.0,0.0,21.0,126.0,0.0,0.74,3.77,15.0,0.17,24.94,33.0,19.83,24.94,0.15,0.83,0.32,0.57,0.06,0.11,0.51,0.0,0.06,0.12,0.02,0.0,0.83,0.23,0.57,0.67,0.36,0.71,14.91,81.38,3.27,6.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,43,34,1155.95,7089.36,6374.47,45,19,13,11.24,51.11,39.76,200.0,62.99,356.0,17.53,17.53,158.0,0.0,9.3,83.0,0.0,0.47,25.48,60.33,7.33,9.4,32.67,2.5,25.48,0.37,0.87,0.37,0.51,0.23,0.46,0.87,0.15,0.51,0.62,0.37,0.5,0.76,0.0,0.23,0.26,0.09,0.42,7.66,12.25,17.34,61.63,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,44,34,2536.71,7484.51,7120.9,20,39,30,20.33,101.97,73.47,393.29,117.98,423.29,32.25,32.25,180.0,0.0,20.38,167.14,0.0,0.37,55.38,81.0,38.33,29.06,97.19,3.83,55.38,0.52,0.93,0.66,0.85,0.47,0.55,0.93,0.79,0.85,1.0,0.86,0.5,0.87,0.0,0.47,0.56,0.36,0.46,10.83,35.68,31.8,59.05,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,45,34,2411.75,6756.71,6347.37,20,42,29,20.59,73.0,73.02,281.0,121.23,327.29,35.54,35.54,153.0,0.0,28.49,144.0,0.0,0.2,55.94,87.83,5.33,29.05,53.21,10.0,55.94,0.52,0.88,0.6,0.65,0.55,0.84,0.87,0.07,0.65,0.73,0.73,0.33,0.88,0.17,0.55,0.66,0.44,0.5,13.47,41.63,35.08,59.13,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,49,34,1246.64,2874.02,2628.93,15,45,17,18.48,53.33,64.05,187.0,97.95,212.0,30.67,30.67,106.0,0.0,19.0,126.0,0.0,0.38,46.33,71.5,16.0,29.29,87.67,10.0,46.33,0.63,1.0,0.61,0.72,0.5,0.7,0.9,0.27,0.72,0.84,0.72,0.46,1.0,0.17,0.5,0.66,0.38,0.37,13.23,32.62,27.16,45.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,50,34,858.72,2542.4,2500.25,31,27,16,10.92,34.56,33.58,115.0,60.27,163.0,30.25,30.25,91.0,0.0,3.67,22.0,0.0,0.88,35.38,45.67,29.83,2.92,5.5,1.17,35.38,0.08,0.69,0.33,0.64,0.03,0.05,0.69,0.59,0.64,0.99,0.55,0.0,0.2,0.0,0.03,0.07,0.0,0.0,0.41,0.88,24.84,77.88,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,51,34,677.63,2934.17,2588.28,38,23,10,11.32,68.33,42.42,250.0,63.39,250.0,18.58,18.58,100.0,0.0,13.56,132.0,0.0,0.27,29.71,64.83,7.17,22.42,54.5,4.83,29.71,0.75,0.93,0.44,0.48,0.4,0.84,0.93,0.01,0.48,0.49,0.44,0.5,0.9,0.07,0.4,0.42,0.32,0.5,5.59,34.25,15.7,35.38,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,57,34,521.65,2017.11,1870.85,30,22,1,9.53,35.56,33.16,120.0,54.28,191.0,13.28,12.8,82.0,0.0,13.28,82.0,0.0,0.04,20.94,34.0,4.17,14.6,28.5,3.5,20.94,0.7,0.74,0.38,0.46,0.3,0.64,0.74,0.0,0.46,0.61,0.29,0.42,0.67,0.0,0.3,0.37,0.18,0.33,12.64,34.88,11.21,42.88,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,59,34,433.42,1933.56,1819.01,34,19,0,8.98,33.0,33.27,105.0,51.7,188.0,13.53,13.53,74.0,0.0,12.84,81.0,0.0,0.05,19.92,33.5,6.33,14.62,40.5,3.5,19.92,0.73,0.83,0.41,0.51,0.31,0.61,0.81,0.08,0.51,0.67,0.27,0.58,0.83,0.0,0.31,0.38,0.18,0.38,6.82,19.12,11.18,40.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,63,34,445.06,1867.11,1688.94,34,22,0,8.09,29.22,30.52,107.0,50.39,189.0,13.25,13.25,81.0,0.0,10.31,63.0,0.0,0.22,23.5,34.33,12.83,12.06,24.17,3.5,23.5,0.51,0.73,0.38,0.52,0.25,0.48,0.73,0.19,0.52,0.65,0.34,0.54,0.61,0.0,0.25,0.3,0.13,0.33,8.66,18.5,11.36,46.38,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
