name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
Input_1080p_image_009#out1#mnr_input0009,65,4,102.18,1970.15,958.42,55,3,0,4.34,29.79,14.5,94.12,20.94,102.48,9.3,9.3,92.48,0.0,2.84,10.35,0.0,0.69,8.4,11.23,5.23,3.48,6.33,1.71,8.4,0.41,0.28,0.08,0.15,0.01,0.1,0.28,0.0,0.15,0.04,0.06,0.54,0.08,0.0,0.01,0.01,0.0,0.04,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_009#out1#mnr_input0009,66,4,21.31,533.57,230.44,61,1,0,1.5,6.61,4.97,16.36,8.91,89.98,2.25,2.25,21.78,0.0,2.09,19.0,0.0,0.07,2.91,8.35,1.04,3.08,7.36,0.67,3.08,0.95,0.17,0.02,0.03,0.01,0.41,0.1,0.0,0.01,0.0,0.01,0.04,0.17,0.0,0.03,0.01,0.01,0.12,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_009#out1#mnr_input0009,67,4,101.93,413.21,334.98,40,0,0,6.39,24.79,20.28,74.44,28.25,80.44,11.0,2.82,9.79,0.0,11.0,40.0,0.0,0.74,3.25,7.13,1.26,17.81,21.43,14.02,17.81,0.18,0.33,0.15,0.27,0.03,0.1,0.15,0.0,0.03,0.0,0.0,0.12,0.33,0.19,0.27,0.18,0.23,0.54,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_009#out1#mnr_input0009,65,5,117.17,1082.73,715.89,47,3,0,4.49,18.58,14.97,68.07,28.01,113.0,8.07,8.07,40.71,0.08,5.66,50.93,0.0,0.3,13.7,17.92,9.4,5.71,13.51,1.49,13.7,0.42,0.34,0.13,0.17,0.09,0.54,0.34,0.06,0.17,0.15,0.16,0.25,0.32,0.0,0.09,0.12,0.04,0.12,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_009#out1#mnr_input0009,66,5,149.15,1576.95,1391.6,56,7,0,4.51,61.5,16.32,230.56,23.53,230.56,7.09,5.4,58.0,0.0,7.09,108.78,0.0,0.24,6.44,26.98,1.2,8.33,24.34,0.83,8.33,0.77,0.59,0.13,0.17,0.09,0.51,0.55,0.0,0.09,0.11,0.06,0.08,0.59,0.0,0.17,0.24,0.09,0.17,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_009#out1#mnr_input0009,67,5,244.67,978.33,817.81,34,12,0,8.92,38.32,29.5,146.44,43.76,148.15,15.03,6.55,33.0,0.0,15.03,64.07,0.0,0.56,8.14,14.38,5.21,23.52,31.86,16.46,23.52,0.35,0.51,0.25,0.39,0.1,0.26,0.29,0.02,0.1,0.11,0.06,0.17,0.51,0.31,0.39,0.38,0.34,0.5,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_009#out1#mnr_input0009,53,6,628.3,3012.17,2978.43,12,14,8,14.73,48.81,51.54,149.43,74.4,209.0,28.06,11.67,53.29,0.0,28.06,107.29,0.0,0.58,18.99,27.83,10.86,38.17,50.22,26.5,38.17,0.5,0.85,0.48,0.66,0.31,0.46,0.42,0.18,0.31,0.18,0.25,0.67,0.85,0.45,0.66,0.59,0.6,0.92,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_009#out1#mnr_input0009,54,6,244.02,648.63,583.5,5,4,0,12.43,53.57,45.61,213.22,66.61,213.22,17.63,13.82,58.14,0.0,17.63,64.0,0.0,0.22,23.0,38.79,8.94,30.15,46.66,16.5,30.15,0.76,0.69,0.4,0.44,0.36,0.81,0.59,0.1,0.36,0.24,0.33,0.67,0.69,0.2,0.44,0.29,0.46,0.75,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_009#out1#mnr_input0009,55,6,149.76,635.23,443.07,20,3,0,8.49,28.02,31.49,107.71,48.32,113.22,13.93,11.43,34.5,0.0,13.93,67.22,0.0,0.18,18.07,29.4,10.56,22.12,34.14,9.38,22.12,0.82,0.42,0.32,0.33,0.31,0.93,0.39,0.17,0.31,0.14,0.24,0.83,0.42,0.16,0.33,0.13,0.31,0.83,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_009#out1#mnr_input0009,65,6,691.76,4506.53,4166.76,47,12,12,9.35,67.43,30.29,226.02,42.1,237.42,13.47,7.87,112.49,0.0,13.47,130.5,0.0,0.42,13.7,50.83,1.58,27.63,48.71,1.98,27.63,0.5,0.87,0.33,0.44,0.22,0.49,0.87,0.0,0.22,0.25,0.18,0.21,0.79,0.0,0.44,0.54,0.42,0.25,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
