name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
MNR_002#out1#mnr_input0006,98,49,550.98,3702.49,3470.24,46,13,9,6.48,25.27,21.64,99.61,46.27,255.76,14.17,7.62,56.33,0.0,14.17,97.86,0.0,0.46,5.79,19.16,1.19,15.24,33.97,3.47,15.24,0.38,0.77,0.26,0.37,0.14,0.39,0.54,0.0,0.14,0.28,0.04,0.0,0.77,0.07,0.37,0.51,0.19,0.37,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,99,49,1235.13,3946.73,3713.2,18,32,20,12.85,36.4,47.41,149.81,95.4,267.89,30.21,30.21,110.82,0.79,21.1,84.43,0.25,0.3,26.87,43.26,16.94,18.95,31.89,11.81,26.87,0.71,0.83,0.57,0.67,0.48,0.71,0.83,0.44,0.67,0.93,0.4,0.54,0.69,0.3,0.48,0.75,0.25,0.25,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,100,49,1156.2,3990.71,3739.37,21,33,16,12.89,30.56,42.5,118.46,88.25,225.84,33.31,33.31,95.98,0.28,13.44,70.07,0.02,0.6,31.16,39.25,18.27,12.9,22.19,7.81,31.16,0.41,0.8,0.52,0.71,0.33,0.46,0.8,0.53,0.71,0.94,0.48,0.58,0.56,0.1,0.33,0.54,0.14,0.17,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,101,49,1037.53,3648.02,3126.97,22,34,16,9.98,34.56,36.47,128.67,80.49,254.14,23.84,14.49,62.04,0.14,23.84,88.89,0.03,0.39,13.37,23.65,2.32,29.02,46.17,10.94,29.02,0.46,0.85,0.49,0.6,0.39,0.64,0.64,0.0,0.39,0.64,0.16,0.21,0.85,0.28,0.6,0.79,0.44,0.46,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,102,49,831.64,3445.6,3232.93,23,20,15,11.93,35.78,36.43,115.35,64.02,181.93,25.42,25.42,96.88,0.14,8.59,79.28,0.0,0.66,36.69,42.99,29.78,4.13,5.06,1.84,36.69,0.11,0.83,0.42,0.79,0.05,0.07,0.83,0.74,0.79,1.0,0.58,0.67,0.13,0.0,0.05,0.0,0.0,0.25,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,103,49,731.95,3213.29,3047.21,33,17,15,10.4,22.99,31.74,69.21,52.67,158.86,23.9,23.9,90.09,0.14,0.94,5.63,0.0,0.96,35.27,37.68,32.07,1.12,2.17,0.39,35.27,0.03,0.79,0.39,0.78,0.0,0.0,0.79,0.76,0.78,1.0,0.55,0.67,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,98,50,903.61,3991.62,3861.37,36,24,13,8.61,27.53,27.34,87.42,62.05,205.27,23.91,6.39,29.99,0.14,23.91,94.0,0.39,0.73,4.25,9.71,1.87,25.54,28.46,18.32,25.54,0.17,0.66,0.36,0.61,0.1,0.17,0.34,0.0,0.1,0.2,0.02,0.04,0.66,0.57,0.61,1.0,0.37,0.12,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,99,50,957.28,3550.06,3372.52,27,27,16,9.99,28.68,34.35,108.8,74.76,229.95,22.34,15.66,86.18,0.03,22.34,95.28,0.22,0.3,12.05,26.65,2.59,26.2,37.55,14.29,26.2,0.46,0.79,0.46,0.6,0.32,0.54,0.72,0.0,0.32,0.52,0.13,0.21,0.79,0.28,0.6,0.91,0.39,0.25,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,100,50,1148.58,3693.82,3470.81,23,32,17,11.21,31.41,37.03,111.86,83.62,235.16,21.16,20.25,96.18,0.0,21.16,84.92,0.0,0.04,18.97,25.79,10.77,20.08,25.73,14.39,20.08,0.94,0.72,0.55,0.56,0.54,0.97,0.72,0.24,0.54,0.83,0.25,0.42,0.67,0.34,0.56,0.93,0.27,0.25,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_002#out1#mnr_input0006,101,50,1202.51,3501.53,3352.82,20,40,18,10.38,28.02,32.69,88.03,78.83,212.26,29.52,5.07,28.13,0.0,29.52,77.85,0.88,0.83,3.93,8.05,1.65,36.29,39.3,34.01,36.29,0.11,0.8,0.39,0.71,0.08,0.11,0.32,0.0,0.08,0.17,0.01,0.0,0.8,0.63,0.71,1.0,0.57,0.29,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
