name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
hisense_mnr_mis_clarity#out1#mnr_input0002,74,8,409.06,1592.52,1258.36,19,21,0,10.58,40.42,39.26,135.07,67.13,143.79,17.58,17.58,83.28,0.14,14.5,58.93,0.43,0.18,24.5,36.91,12.38,21.98,36.4,10.16,24.5,0.9,0.57,0.4,0.41,0.39,0.95,0.57,0.22,0.41,0.46,0.35,0.42,0.56,0.17,0.39,0.41,0.31,0.5,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,75,8,323.12,1878.37,1307.92,24,14,0,8.67,36.94,32.92,139.36,52.01,151.71,16.18,11.05,55.29,0,16.18,79.13,0.3,0.32,14.2,37.95,3.16,21.79,31.97,13.29,21.79,0.65,0.74,0.34,0.42,0.26,0.61,0.63,0,0.26,0.23,0.18,0.46,0.74,0.25,0.42,0.59,0.31,0.25,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,76,8,914.98,2847.27,2707.7,14,38,8,13.44,49.7,50.26,181.8,89.37,247.82,23.57,23.57,79.21,0,20.89,91.96,0.08,0.11,30.81,58.6,4.16,28.89,49.99,16.84,30.81,0.94,0.86,0.54,0.61,0.48,0.8,0.86,0.07,0.48,0.56,0.47,0.33,0.74,0.43,0.61,0.97,0.43,0.08,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,77,8,693.43,1503.59,1421.76,5,45,0,16.6,47.77,56.78,158.65,93.77,163.11,25.13,20.21,71.36,0.3,25.13,66.44,0.63,0.2,26.61,38.23,15.64,33.52,44.37,23.67,33.52,0.79,0.73,0.5,0.57,0.44,0.76,0.57,0.19,0.44,0.5,0.39,0.38,0.73,0.37,0.57,0.61,0.52,0.58,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,78,8,646.22,1988.06,1821.01,14,36,0,13.61,44.41,47.65,159.36,78.85,174.71,30.6,12.14,55.22,0.08,30.6,93.02,0.08,0.6,16.97,24.31,6.01,35.36,48.59,21.84,35.36,0.48,0.79,0.44,0.56,0.32,0.57,0.53,0.07,0.32,0.38,0.22,0.37,0.79,0.35,0.56,0.65,0.55,0.38,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,79,8,184.44,615.24,537.22,27,4,0,7.16,32.97,26.99,129.93,44.57,129.93,12.37,9.24,33.29,0,12.37,46.65,0.07,0.25,10.47,15.27,3.71,18.6,26.68,12.85,18.6,0.56,0.48,0.22,0.26,0.17,0.68,0.24,0.03,0.17,0.23,0.1,0.17,0.48,0.16,0.26,0.3,0.25,0.17,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,80,8,12.19,191.69,94.05,63,0,0,1.5,12.37,5.57,48.86,7.73,48.86,2.36,1.62,20,0,2.36,23,0,0.31,2.52,5.24,1.25,3.29,11.09,0.93,3.29,0.77,0.05,0,0.01,0,0.33,0.02,0,0,0,0,0,0.05,0,0.01,0,0.01,0,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,81,8,19.88,66.9,63.89,64,0,0,2.31,12.62,8.12,45.43,13.7,45.43,3.49,2.82,11.28,0,3.49,21.43,0,0.19,3.87,7.52,1.2,6.16,14.07,1.61,6.16,0.63,0.14,0.02,0.04,0.01,0.41,0.08,0,0.01,0.01,0.01,0.04,0.14,0,0.04,0,0.05,0.08,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,82,8,71.85,255.03,216.32,44,0,0,4.87,18.67,17.89,66.14,28.82,67.28,7.26,6.94,27.5,0,7.26,30.5,0,0.04,10.28,14.43,2.73,10.83,20.14,6.18,10.83,0.95,0.32,0.15,0.16,0.14,0.83,0.27,0.05,0.16,0.1,0.1,0.42,0.32,0.01,0.14,0.07,0.11,0.33,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,83,8,109.93,386.44,333.19,36,0,0,4.95,24.41,16.66,94.21,29.55,95.36,9.54,4.74,23,0,9.54,41.36,0.08,0.5,5.94,11.97,2.32,16.15,25.21,7.86,16.15,0.37,0.33,0.15,0.21,0.08,0.38,0.23,0,0.08,0.07,0.04,0.17,0.33,0.11,0.21,0.2,0.2,0.25,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,84,8,110.09,615.62,472.83,38,1,0,5.06,24.79,18.81,99.14,31.4,100.45,7.61,7.61,30.93,0,6.58,32.08,0.08,0.14,10.42,14.91,2.91,8.38,14.55,1.88,10.42,0.8,0.3,0.13,0.14,0.13,0.95,0.3,0,0.13,0.16,0.1,0.12,0.28,0,0.14,0.18,0.07,0.17,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,85,8,137.7,579.76,529.9,45,6,0,5.31,28.46,19.3,100.15,32.84,109.57,11.44,6.02,25.85,0.28,11.44,54.78,0,0.47,6.55,10.5,2.33,11.61,24.88,4.55,11.61,0.56,0.42,0.13,0.17,0.09,0.51,0.26,0,0.09,0.11,0.04,0.12,0.42,0,0.17,0.21,0.12,0.17,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,86,8,43.61,142.02,126.08,59,0,0,4.22,13.12,14.58,46.36,24.35,46.58,6.32,6.32,27.22,0,5.37,18.93,0.22,0.15,10.12,18.09,4.76,7.57,13.41,3.04,10.12,0.75,0.31,0.11,0.13,0.09,0.69,0.31,0,0.13,0.03,0.09,0.42,0.16,0,0.09,0.03,0.05,0.29,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,87,8,229.83,823.53,683.58,19,6,0,8.46,28.95,34.1,132.72,56.86,132.72,14.59,13.39,41.64,0.14,14.59,57.64,0.35,0.08,18,28.54,8.11,21.56,35.11,11.04,21.56,0.84,0.58,0.33,0.36,0.3,0.83,0.47,0.15,0.3,0.3,0.24,0.42,0.58,0.14,0.36,0.3,0.3,0.62,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,88,8,65.94,334.08,292.68,50,0,0,2.75,22.55,10.75,92.58,21.67,92.58,7.01,4.55,25.79,0,7.01,45.57,0.01,0.35,5.45,11.76,1.94,6.4,13.81,2.79,6.4,0.85,0.23,0.05,0.06,0.05,0.86,0.22,0,0.06,0.06,0.03,0.08,0.23,0,0.05,0.04,0.04,0.08,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,89,8,42.62,333.42,200.29,53,0,0,2.38,10.37,9.08,44,17.73,69.7,4.69,3.56,26.3,0,4.69,19.15,0,0.24,5.28,12.42,2.65,5.36,10.97,1.64,5.36,0.98,0.23,0.06,0.06,0.06,0.93,0.23,0,0.06,0.04,0.02,0.17,0.15,0,0.06,0.09,0.02,0.08,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,90,8,333.77,1114.06,903.06,13,17,0,10.1,33.94,36.19,130.71,62.9,130.85,15.84,15.84,57.5,0.08,13.91,75.93,0.07,0.12,19.8,26.25,11.95,19.88,37.32,11.82,19.88,1,0.59,0.34,0.36,0.32,0.9,0.45,0.23,0.36,0.47,0.27,0.25,0.59,0.15,0.32,0.37,0.27,0.29,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,91,8,297.58,1699.51,1294.05,36,13,0,7.35,30.75,27.94,129.43,51.84,180.57,12.14,12.14,48.43,0.01,10.52,54.49,0,0.13,15.3,27.88,6.47,11.07,27.76,2.39,15.3,0.72,0.57,0.25,0.31,0.19,0.62,0.57,0.14,0.31,0.35,0.19,0.42,0.51,0,0.19,0.22,0.12,0.25,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,92,8,991.3,2793.61,2356.69,0,38,7,18.13,49.08,71.46,200.21,118.99,236.01,29.92,29.84,81.07,0.14,29.92,93.63,0.01,0,39.9,51.55,21.05,39.91,51.12,21.92,39.91,1,0.88,0.69,0.7,0.68,0.98,0.88,0.55,0.68,0.82,0.63,0.46,0.88,0.49,0.7,0.8,0.63,0.58,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,93,8,470.83,1562.33,1109.77,3,27,0,11.77,38.87,42.58,139.7,77.04,142.3,20.37,19.04,65.59,0.36,20.37,54.93,0.63,0.07,21.47,28.02,11.56,25.45,38.43,19.71,25.45,0.84,0.73,0.44,0.45,0.43,0.95,0.59,0.2,0.43,0.49,0.3,0.54,0.73,0.33,0.45,0.59,0.37,0.29,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,74,9,474.57,1206.52,1093.23,8,28,0,13.4,38.73,47.54,147.06,76.31,159.14,24.14,24.14,76.65,0.21,16.24,52.86,0,0.33,35.73,47.74,27.82,15.9,20.88,11.02,35.73,0.44,0.66,0.41,0.54,0.29,0.53,0.66,0.41,0.54,0.52,0.56,0.54,0.47,0.05,0.29,0.37,0.2,0.25,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,75,9,954.99,3138.25,2557.08,3,45,3,15.5,71.12,54.54,260.24,100.19,260.24,30.77,19.56,70.35,0.79,30.77,95.42,1.15,0.36,29.86,57.37,7.21,45.85,88.35,18.89,45.85,0.65,0.93,0.58,0.68,0.48,0.71,0.85,0.09,0.48,0.46,0.45,0.58,0.93,0.29,0.68,0.76,0.67,0.5,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,76,9,690.04,3415.81,3014.01,24,26,7,10.36,35.51,34.68,111.81,63.63,184.6,19.59,11.07,66.01,0,19.59,97.6,0.36,0.43,13.08,25.78,2.05,28.9,40.92,12.17,28.9,0.45,0.86,0.46,0.66,0.27,0.41,0.65,0,0.27,0.39,0.16,0.17,0.86,0.48,0.66,0.94,0.43,0.42,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,77,9,788.85,2372.34,2146.09,3,39,4,16.21,51.42,57.83,173.67,100.92,194.55,29.49,17.42,55.57,0,29.49,88.72,1.01,0.41,20.29,27.77,8.28,37.52,46.63,30.96,37.52,0.54,0.78,0.54,0.67,0.41,0.62,0.53,0.24,0.41,0.57,0.28,0.29,0.78,0.52,0.67,0.84,0.59,0.42,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
hisense_mnr_mis_clarity#out1#mnr_input0002,78,9,626.26,2599.12,1937.98,8,36,3,14.4,48.44,50.72,172.78,86.07,194.14,28.35,17.51,55.36,0.14,28.35,79.58,0.08,0.38,21.84,32.75,13.84,37.36,54.15,17.86,37.36,0.58,0.74,0.53,0.61,0.44,0.72,0.62,0.2,0.44,0.53,0.31,0.46,0.74,0.45,0.61,0.61,0.59,0.67,100,500,2000,0,3,20,120,5,60,1,4,0.45,0.35,0.2
