参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 6, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.1069, 测试集:0.1266, 下限值:0.1266, 差异:0.0197
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 6, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.1052, 测试集:0.1244, 下限值:0.1244, 差异:0.0192
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 6, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.1074, 测试集:0.1279, 下限值:0.1279, 差异:0.0204
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 6, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.1073, 测试集:0.1276, 下限值:0.1276, 差异:0.0203
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 6, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0893, 测试集:0.1114, 下限值:0.1114, 差异:0.0221
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 6, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0896, 测试集:0.1124, 下限值:0.1124, 差异:0.0227
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 6, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0900, 测试集:0.1139, 下限值:0.1139, 差异:0.0239
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 6, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0900, 测试集:0.1129, 下限值:0.1129, 差异:0.0229
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 6, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.1013, 测试集:0.1227, 下限值:0.1227, 差异:0.0214
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 6, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0990, 测试集:0.1225, 下限值:0.1225, 差异:0.0235
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 6, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.1000, 测试集:0.1227, 下限值:0.1227, 差异:0.0227
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 6, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.1008, 测试集:0.1200, 下限值:0.1200, 差异:0.0192
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 6, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0804, 测试集:0.1070, 下限值:0.1070, 差异:0.0265
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 6, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0816, 测试集:0.1080, 下限值:0.1080, 差异:0.0264
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 6, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0817, 测试集:0.1072, 下限值:0.1072, 差异:0.0256
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 6, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0815, 测试集:0.1065, 下限值:0.1065, 差异:0.0250
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 8, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.1053, 测试集:0.1279, 下限值:0.1279, 差异:0.0226
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 8, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.1073, 测试集:0.1256, 下限值:0.1256, 差异:0.0184
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 8, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.1060, 测试集:0.1259, 下限值:0.1259, 差异:0.0199
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.1063, 测试集:0.1264, 下限值:0.1264, 差异:0.0200
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 8, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0836, 测试集:0.1112, 下限值:0.1112, 差异:0.0275
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 8, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0844, 测试集:0.1092, 下限值:0.1092, 差异:0.0248
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 8, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0839, 测试集:0.1104, 下限值:0.1104, 差异:0.0265
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0831, 测试集:0.1112, 下限值:0.1112, 差异:0.0281
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 8, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0989, 测试集:0.1217, 下限值:0.1217, 差异:0.0228
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 8, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0993, 测试集:0.1210, 下限值:0.1210, 差异:0.0217
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 8, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0997, 测试集:0.1200, 下限值:0.1200, 差异:0.0203
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0997, 测试集:0.1210, 下限值:0.1210, 差异:0.0213
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 8, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0752, 测试集:0.1072, 下限值:0.1072, 差异:0.0320
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 8, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0761, 测试集:0.1060, 下限值:0.1060, 差异:0.0299
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 8, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0765, 测试集:0.1077, 下限值:0.1077, 差异:0.0313
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0748, 测试集:0.1077, 下限值:0.1077, 差异:0.0329
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 10, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.1062, 测试集:0.1288, 下限值:0.1288, 差异:0.0227
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 10, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.1062, 测试集:0.1256, 下限值:0.1256, 差异:0.0195
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 10, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.1058, 测试集:0.1264, 下限值:0.1264, 差异:0.0206
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 10, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.1063, 测试集:0.1254, 下限值:0.1254, 差异:0.0191
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 10, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0823, 测试集:0.1102, 下限值:0.1102, 差异:0.0278
参数:{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 10, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0823, 测试集:0.1094, 下限值:0.1094, 差异:0.0271
