row,col,mean_var,median_var,max_var,top5_var,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,edge_orientation_conf,row_second_diff,col_second_diff,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score
92,104,135.48,84.02,732.11,591.53,4,0,5.9,24.68,22.67,102.93,36.08,102.93,12.59,0.42,8.95,8.98,1.0,0.2,0.12,0.13,0.12,0.92,0.2,0.13,0.18,0.07,0.12,0.19,0.12,0.13,0.08,0.17
92,105,109.79,113.89,237.78,234.53,0,0,6.48,19.12,24.74,70.22,39.49,76.78,10.98,0.21,16.77,10.76,0.64,0.35,0.21,0.27,0.15,0.55,0.35,0.27,0.15,0.21,0.67,0.32,0.15,0.11,0.11,0.33
92,106,528.89,191.53,2593.87,2094.31,24,3,11.68,42.39,40.17,146.29,69.29,167.44,19.27,0.35,26.8,18.05,0.67,0.71,0.44,0.55,0.32,0.59,0.71,0.55,0.78,0.4,0.29,0.54,0.32,0.27,0.24,0.58
93,104,140.12,86.62,919.68,654.06,3,0,5.68,22.59,19.9,81.22,37.66,102.86,12.58,0.39,13.31,8.6,0.65,0.44,0.21,0.28,0.13,0.46,0.44,0.28,0.23,0.15,0.62,0.33,0.13,0.09,0.07,0.33
93,105,268.55,148.39,1113.62,901.83,12,0,10.19,32.06,36.81,121.93,54.51,134.28,17.51,0.49,30.96,12.48,0.4,0.8,0.3,0.45,0.16,0.35,0.8,0.45,0.38,0.47,0.58,0.38,0.16,0.15,0.14,0.21
93,106,490.72,340.43,1758.04,1362.26,24,0,13.61,42.23,48.29,145.58,76.0,145.58,24.76,0.52,33.76,15.2,0.45,0.73,0.45,0.63,0.27,0.43,0.73,0.63,0.8,0.52,0.42,0.41,0.27,0.27,0.19,0.42
94,104,376.68,294.89,1495.59,1089.24,14,0,13.37,38.85,50.86,152.29,75.86,152.29,24.89,0.45,36.54,19.74,0.54,0.81,0.5,0.7,0.31,0.44,0.81,0.7,0.73,0.57,0.83,0.56,0.31,0.29,0.27,0.42
94,105,371.45,297.39,1048.02,950.52,12,0,11.91,29.76,44.04,110.01,71.8,123.71,19.34,0.21,31.81,18.53,0.58,0.62,0.41,0.48,0.33,0.69,0.62,0.48,0.42,0.49,0.62,0.44,0.33,0.38,0.25,0.38
94,106,852.8,764.61,2511.71,2078.71,45,3,17.11,44.59,58.09,145.17,102.42,178.71,34.77,0.52,37.79,18.44,0.49,0.78,0.54,0.67,0.41,0.62,0.78,0.67,0.82,0.6,0.46,0.54,0.41,0.62,0.24,0.25
96,94,518.19,443.07,1732.38,1501.91,26,0,14.38,63.61,49.66,224.58,83.03,224.58,26.51,0.47,37.26,15.5,0.42,0.82,0.48,0.63,0.32,0.51,0.82,0.63,0.66,0.59,0.67,0.53,0.32,0.42,0.19,0.33
96,95,566.91,534.54,2582.66,1715.19,35,2,14.75,42.52,52.07,181.15,80.85,189.44,29.04,0.54,43.94,16.26,0.37,0.86,0.41,0.58,0.25,0.42,0.86,0.58,0.49,0.65,0.67,0.42,0.25,0.24,0.2,0.33
96,96,863.99,764.14,2640.41,2266.04,43,4,16.01,49.71,56.03,186.5,101.27,221.79,28.73,0.27,42.33,22.75,0.54,0.89,0.57,0.7,0.44,0.62,0.89,0.7,0.82,0.68,0.46,0.63,0.44,0.55,0.32,0.38
97,94,198.58,63.34,1166.82,1007.92,10,0,6.32,45.98,22.2,167.57,38.71,182.72,13.86,0.45,14.51,8.79,0.61,0.55,0.2,0.27,0.12,0.43,0.55,0.27,0.25,0.17,0.5,0.39,0.12,0.14,0.08,0.12
97,95,679.35,283.45,2628.77,2419.4,25,6,14.06,59.59,47.9,202.22,79.63,216.0,25.87,0.53,42.77,13.5,0.32,0.97,0.49,0.72,0.25,0.35,0.97,0.72,0.72,0.69,0.79,0.58,0.25,0.36,0.16,0.17
97,96,417.92,324.22,1501.22,1178.45,27,0,12.1,49.83,42.88,190.43,68.05,191.81,22.15,0.38,31.06,18.13,0.58,0.8,0.4,0.48,0.33,0.69,0.8,0.48,0.45,0.47,0.54,0.57,0.33,0.38,0.24,0.38
98,94,104.52,81.78,392.49,321.16,0,0,6.15,28.32,22.45,111.51,36.72,111.51,11.2,0.35,15.46,11.41,0.74,0.42,0.19,0.24,0.14,0.57,0.34,0.24,0.16,0.19,0.5,0.42,0.14,0.1,0.12,0.25
98,95,173.17,84.02,1553.01,896.75,3,0,6.62,22.89,22.09,84.5,40.08,139.79,11.92,0.26,17.79,7.92,0.45,0.56,0.18,0.25,0.12,0.49,0.56,0.25,0.16,0.23,0.46,0.23,0.12,0.09,0.06,0.29
98,96,261.41,149.73,859.05,782.41,15,0,8.56,43.46,32.18,164.3,49.88,164.3,15.04,0.44,24.37,12.28,0.5,0.62,0.29,0.34,0.23,0.69,0.62,0.34,0.34,0.35,0.33,0.61,0.23,0.25,0.14,0.38
96,97,903.03,580.27,4460.3,3559.06,34,7,17.0,63.42,64.63,212.79,103.97,274.07,33.32,0.42,42.5,22.28,0.52,0.93,0.59,0.75,0.43,0.57,0.93,0.75,0.86,0.68,0.62,0.76,0.43,0.54,0.31,0.37
96,98,422.82,337.52,1165.95,1059.82,15,0,12.21,38.41,44.75,140.15,76.64,161.29,22.5,0.32,30.53,16.0,0.52,0.89,0.41,0.49,0.33,0.68,0.89,0.49,0.49,0.46,0.54,0.43,0.33,0.49,0.2,0.21
96,99,869.2,834.07,2009.83,1692.31,46,1,14.64,47.92,51.38,188.57,109.07,201.07,33.53,0.37,41.24,25.09,0.61,0.98,0.58,0.71,0.45,0.63,0.98,0.71,0.81,0.66,0.58,0.72,0.45,0.54,0.37,0.38
97,97,699.78,443.27,2835.37,2352.74,29,4,12.33,50.3,44.76,195.58,85.51,220.87,24.45,0.25,33.87,18.24,0.54,0.84,0.45,0.53,0.36,0.68,0.84,0.53,0.66,0.52,0.25,0.65,0.36,0.52,0.25,0.21
97,98,433.21,354.0,1169.11,1028.99,23,0,10.41,41.05,42.0,164.86,74.8,164.86,21.02,0.26,30.79,17.86,0.58,0.81,0.43,0.54,0.33,0.6,0.81,0.54,0.62,0.47,0.5,0.55,0.33,0.43,0.23,0.25
