row,col,mean_var,median_var,max_var,top5_var,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,edge_orientation_conf,row_second_diff,col_second_diff,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score
58,45,277.43,14.51,2375.48,2202.44,8,5,7.79,36.04,24.15,116.3,28.6,118.79,17.99,0.89,3.57,14.51,0.25,0.33,0.1,0.21,0,0.01,0.01,0,0,0,0,0.33,0.21,0.03,0.17,0.67
58,46,165.08,10.22,1334.69,1151,8,0,6.14,27.75,19.98,94.93,24.52,94.93,13.77,0.81,4.95,11.3,0.44,0.32,0.09,0.13,0.05,0.37,0.14,0.05,0,0.01,0.21,0.32,0.13,0.04,0.11,0.33
58,47,264.63,22.26,2315.3,2203.9,8,4,7.22,33.17,23.45,106.28,28.7,117.21,16.76,0.85,4.3,12.56,0.34,0.31,0.1,0.16,0.03,0.21,0.14,0.03,0,0,0.17,0.31,0.16,0.03,0.14,0.5
59,45,877.71,47.1,4239.31,3552.1,20,16,18.88,106.54,71.15,396.41,89.9,396.41,24.71,0.4,18.41,46.25,0.4,1,0.51,0.73,0.29,0.4,0.82,0.29,0.3,0.25,0.33,1,0.73,0.71,0.7,0.83
59,46,807.51,57,3843.29,3503.02,22,16,16.41,99.51,58.53,374.43,83.95,374.43,23.84,0.39,16.97,48.15,0.35,0.93,0.45,0.61,0.3,0.49,0.79,0.3,0.38,0.22,0.25,0.93,0.61,0.62,0.58,0.62
59,47,1520.74,143.16,5058.71,4919.12,30,26,27.64,108.89,101.87,401.23,126.94,401.23,39.73,0.5,21.78,77.58,0.28,1,0.59,0.83,0.36,0.43,0.73,0.36,0.41,0.31,0.33,1,0.83,0.96,0.82,0.54
60,45,2589.72,2795.01,5269.46,4534.02,58,47,48.32,116.43,173.47,423.57,222.65,444.85,76.65,0.49,45.19,147.23,0.31,1,0.84,0.89,0.79,0.89,0.93,0.79,1,0.73,0.42,1,0.89,0.85,0.92,0.92
60,46,2076.13,2422.41,4669.86,4376.47,44,36,34.89,108.87,128.52,401.4,161.59,425.81,54.92,0.51,32.93,110.37,0.3,1,0.73,0.92,0.53,0.57,0.93,0.53,0.56,0.5,0.5,1,0.92,0.91,0.96,0.88
60,47,3282.84,3294.11,4776.68,4647.85,64,61,50.92,99.68,183.87,373.43,246.64,379.49,84.44,0.52,52.56,155.17,0.34,1,0.9,0.98,0.81,0.83,0.93,0.81,1,0.78,0.46,1,0.98,1,0.99,0.92
58,39,260.11,4.39,2384.5,2291.46,8,5,6.22,33.73,18.98,103.72,21.76,110.8,15.37,0.93,1.62,10.24,0.16,0.19,0.05,0.1,0,0,0,0,0,0,0,0.19,0.1,0.04,0.1,0.25
58,40,196.07,10.44,1471.45,1390.21,8,0,6.42,27.49,19.54,85.65,22.16,85.65,14.67,0.93,1.43,12.85,0.11,0.29,0.08,0.16,0,0,0,0,0,0,0,0.29,0.16,0.09,0.14,0.38
58,41,207.87,7.38,1468,1439.26,8,0,6.11,26.99,18.52,82.36,21.02,84.78,14.54,0.94,1.42,10.87,0.13,0.13,0.04,0.08,0,0,0,0,0,0,0,0.13,0.08,0.08,0.11,0.04
59,39,112.02,7.51,1849.63,1286.01,5,0,2.87,25.46,9.69,93.91,14.71,106.83,2.56,0.1,3.35,3.99,0.84,0.16,0.03,0.04,0.02,0.46,0.07,0.02,0,0,0.08,0.16,0.04,0,0.01,0.17
59,40,37.54,15.95,695.39,231.39,1,0,3.07,13.29,14.35,55.72,19.95,55.72,5.22,0.21,5.57,10.26,0.54,0.28,0.12,0.17,0.08,0.47,0.15,0.08,0.01,0.03,0.33,0.28,0.17,0,0.1,0.67
59,41,86.66,5.02,1450.55,1023.04,4,0,2.56,24.52,9.18,74.92,13.64,85.21,2.65,0.35,2.34,4.12,0.57,0.07,0.02,0.03,0,0,0,0,0,0,0,0.07,0.03,0,0,0.17
60,39,3339.75,3400.93,5869.25,5451.54,63,55,54.61,125.62,195.97,463.86,248.82,463.86,86.07,0.57,43.65,172.6,0.25,1,0.87,1,0.75,0.75,0.88,0.75,1,0.69,0.29,1,1,1,1,1
60,40,3135.65,3043.32,6197.22,5635.18,62,58,55.44,119.97,214.29,508.43,261.28,508.43,83.88,0.53,49.48,183.58,0.27,1,0.88,0.98,0.78,0.8,1,0.78,0.9,0.79,0.5,1,0.98,0.97,0.99,1
60,41,2832.95,3118.76,4623.72,4455.05,60,49,51.2,125.88,192.46,509.12,244.22,509.12,77.44,0.42,45.41,167.04,0.27,1,0.83,0.93,0.74,0.79,0.87,0.74,0.97,0.69,0.29,1,0.93,0.94,0.91,0.96
65,54,11.45,6.37,86.03,62.4,0,0,2.02,6.55,6.99,33.75,10.67,35.05,3.02,0.42,2.31,5.53,0.42,0.14,0.02,0.05,0,0,0,0,0,0,0,0.14,0.05,0,0.02,0.21
65,55,13.26,7.45,100.28,72.41,0,0,2.53,8.42,9.43,29.85,13.23,32.24,3.81,0.43,2.49,6.75,0.37,0.24,0.07,0.13,0.01,0.06,0.07,0.01,0,0,0.04,0.24,0.13,0,0.04,0.58
65,56,12.46,1.55,165.85,105.91,0,0,1.07,5.18,3.63,15.26,6.51,32.83,1.38,0.02,1.83,1.75,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,54,3099.6,3402.96,6131.28,5747.44,54,47,42.25,96.14,169.92,486.89,214.59,486.89,64.7,0.43,60.16,135.51,0.44,1,0.84,0.97,0.72,0.74,1,0.72,0.8,0.71,0.54,1,0.97,1,1,0.83
66,55,1397.89,282.11,5764.23,4783.12,30,23,21.95,97.16,89.15,453.32,121.7,453.32,30.44,0.05,36.93,63.06,0.59,1,0.62,0.65,0.59,0.9,1,0.65,0.78,0.56,0.54,1,0.59,0.51,0.57,0.79
66,56,2289.44,2398.54,4349.12,4017.59,62,42,39.68,103.28,151.57,404.95,197.84,404.95,60.72,0.44,39.4,136.16,0.29,1,0.82,1,0.64,0.64,0.87,0.64,0.77,0.57,0.46,1,1,1,1,1
67,54,2611.48,2783.49,4586.34,4225.82,59,47,37.29,102.71,166.86,488.04,208,488.04,63.65,0.38,69.21,110.26,0.63,1,0.9,0.93,0.86,0.92,0.93,0.86,1,0.89,0.5,1,0.93,0.97,0.99,0.75
67,55,1482.36,1390.87,4056.88,3765.97,40,26,26.38,88.69,105.59,386.31,143.32,386.31,41.66,0.28,37.24,73.72,0.51,1,0.72,0.78,0.66,0.85,0.93,0.66,0.78,0.59,0.54,1,0.78,0.64,0.86,0.96
67,56,2252.56,2445.9,4644.09,4162.46,54,40,31.29,83.24,117.19,321.35,173.62,391.63,56.48,0.48,34.71,92.86,0.37,1,0.84,0.94,0.73,0.78,0.83,0.73,0.92,0.54,0.62,1,0.94,1,0.93,0.83
53,60,2580.58,2575.54,7913.08,6653.81,59,34,31.88,76.81,103.87,268.43,174.92,301.14,63.02,0.61,73.28,31.16,0.43,0.93,0.71,0.86,0.57,0.67,0.93,0.86,1,0.88,0.5,0.76,0.57,0.77,0.48,0.29
53,61,5150.48,4769.45,10123.15,9711.1,64,60,49.64,98.33,152.49,304,226.54,304.13,98.26,0.8,154.35,14.19,0.09,1,0.67,0.96,0.39,0.41,1,0.96,1,1,0.79,0.62,0.39,0.66,0.17,0.17
53,62,1946.48,1452.27,6448.75,5516.29,52,27,23.52,70.7,83.48,248.33,140.86,268.58,47,0.53,72.32,28.66,0.4,0.93,0.69,0.84,0.55,0.65,0.93,0.84,1,0.95,0.29,0.81,0.55,0.62,0.43,0.58
54,60,432.34,89.11,3959.46,2731.57,14,4,8.33,36.5,30.04,130.98,55.68,262.35,15.54,0.07,22.23,14.02,0.63,0.91,0.32,0.34,0.3,0.88,0.91,0.34,0.25,0.31,0.58,0.51,0.3,0.35,0.16,0.42
54,61,829.31,88.92,6316.86,4755.25,19,10,11.11,75.17,35.03,228.5,70.67,309.35,20.52,0.22,28.83,14.44,0.5,0.93,0.35,0.37,0.33,0.87,0.93,0.37,0.28,0.33,0.67,0.67,0.33,0.52,0.17,0.17
54,62,529.85,108.91,3403.59,2952.38,14,6,7.61,35.07,26.71,121.22,59.78,206.06,20.27,0.42,16.69,17.65,0.95,0.66,0.33,0.38,0.27,0.71,0.66,0.27,0.21,0.21,0.5,0.62,0.38,0.56,0.23,0.25
55,60,18.34,16.43,43.4,38.43,0,0,1.27,4.6,4.22,16.64,13.13,22.64,3.87,0.25,2.07,2.46,0.84,0.03,0.01,0.02,0,0,0,0,0,0,0,0.03,0.02,0.04,0,0
55,61,18.57,17.21,59.69,44.63,0,0,1.78,5.03,5.71,15.28,13.65,22.22,3.84,0.16,4.74,3.04,0.64,0.14,0.04,0.07,0.01,0.13,0.14,0.07,0,0,0.33,0.03,0.01,0.02,0,0
55,62,14.28,13.88,55.4,47.82,0,0,1.32,3.23,4.17,12.36,9.41,24.07,4.59,0.85,0.42,3.89,0.11,0.03,0.01,0.02,0,0,0,0,0,0,0,0.03,0.02,0.05,0,0
13,71,2367.78,1037.81,7922.75,7771.28,48,23,28.78,74.78,100.91,274.4,139.57,290.25,50.25,0.56,69.79,30.46,0.44,1,0.74,0.92,0.56,0.61,1,0.92,1,0.93,0.71,0.97,0.56,0.61,0.46,0.62
13,72,4100.83,4049.59,9464.69,8168.78,61,44,33.34,81.04,120.53,345.58,198.19,398.08,62.7,0.5,91.1,41.47,0.46,1,0.75,0.91,0.59,0.65,1,0.91,1,1,0.54,0.93,0.59,0.61,0.61,0.5
13,73,5365.73,6506.47,9753.48,9398.63,54,46,41.26,90.74,130.91,309.06,196.12,344.81,80.66,0.78,124.45,18.05,0.15,1,0.65,0.92,0.38,0.42,1,0.92,1,1,0.58,0.75,0.38,0.47,0.24,0.46
14,71,1330.38,467.78,7557.61,6894.17,30,12,19.6,57.71,66.52,195.92,100.31,337.67,29.1,0.21,30.12,42.64,0.71,0.93,0.55,0.64,0.46,0.72,0.93,0.46,0.45,0.42,0.54,0.87,0.64,0.7,0.66,0.46
14,72,1105.11,112.36,7684.2,6373.69,28,12,16.11,79.93,67.76,393.38,95.5,447.52,29.52,0.27,36.26,32.81,0.9,1,0.53,0.61,0.44,0.72,1,0.44,0.35,0.45,0.62,0.93,0.61,0.73,0.5,0.54
14,73,1134.15,71.43,7335.42,6068.79,29,11,15.46,71.72,54.81,231.49,82.33,310.57,24.74,0.26,27.32,33.74,0.81,0.96,0.48,0.61,0.35,0.57,0.93,0.35,0.29,0.32,0.54,0.96,0.61,0.67,0.52,0.62
15,71,273.08,68.98,1747.27,1265.62,14,0,9.24,49.71,33.42,151.54,47.16,151.77,18.35,0.61,21.82,6.23,0.29,0.62,0.24,0.41,0.06,0.15,0.62,0.41,0.37,0.31,0.71,0.14,0.06,0.1,0.03,0.04
15,72,4.03,1.15,44.3,30.09,0,0,0.73,2.38,2.14,7.51,4.2,24.37,1.54,0.36,1.26,1.72,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,73,2.41,0.81,20,17.8,0,0,0.63,2,2.09,7.79,3.32,17.08,1.3,0.6,0.88,1.5,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,63,2091.95,706.14,9118.68,8662.11,34,16,22.24,59.71,68.25,182.62,91.24,235.18,42.73,0.9,4.17,83.52,0.05,1,0.49,0.95,0.04,0.04,0.08,0.04,0,0.01,0.17,1,0.95,1,1,0.75
9,64,1602.98,528.1,8422.52,7505.69,34,14,21.89,87.24,73.84,290.04,112.67,348.69,30.69,0.18,54.99,36.72,0.67,1,0.62,0.63,0.62,0.98,0.93,0.63,0.57,0.65,0.71,1,0.62,0.72,0.53,0.54
9,65,2162.48,1057.48,7946.3,7611.25,39,23,24.75,70.04,94.61,265.8,138.59,416.45,40.64,0.23,45.25,61.72,0.73,1,0.75,0.86,0.64,0.74,0.93,0.64,0.66,0.69,0.5,1,0.86,0.91,0.91,0.67
10,63,2494.58,1065.56,8706.11,8205.93,49,26,26.72,84.5,87.16,262.97,130.34,283.67,47.27,0.6,15.41,87,0.18,1,0.57,0.93,0.22,0.23,0.82,0.22,0.24,0.21,0.17,1,0.93,1,1,0.67
10,64,1871.85,558.64,8390.49,7424.73,37,18,24.69,83.58,81.58,282.05,119.4,367.92,32.95,0.21,55.82,44.07,0.79,0.93,0.66,0.69,0.63,0.9,0.93,0.69,0.73,0.71,0.58,0.93,0.63,0.6,0.64,0.67
10,65,2091.71,546.51,8591.74,8015.87,33,21,20.89,103.86,64.55,366.78,104.95,366.78,39.47,0.83,4.86,44.99,0.11,0.93,0.48,0.87,0.08,0.1,0.14,0.08,0.14,0.01,0.08,0.93,0.87,1,0.73,0.83
11,63,3436.74,3964.59,7257.15,6846.39,53,43,30.81,87.43,105.59,350.78,168.37,392.35,51.33,0.34,41.83,87.35,0.48,1,0.79,0.91,0.67,0.74,0.87,0.67,0.8,0.65,0.42,1,0.91,1,1,0.54
11,64,2492.29,833.48,7495.49,7192.11,47,25,27.18,75.37,96.59,324.76,150.79,380.37,43.13,0.22,59.21,47.92,0.81,1,0.73,0.86,0.6,0.7,0.97,0.86,0.93,0.85,0.71,1,0.6,0.62,0.63,0.5
11,65,2421.82,1572.43,8133.15,7731.4,44,29,22.86,75.05,76.59,256.84,137.04,354.83,36.92,0.17,46.37,54.84,0.85,1,0.7,0.72,0.68,0.94,0.87,0.68,0.76,0.7,0.46,1,0.72,0.83,0.77,0.37
3,50,2177.38,482.83,10216.46,8936,32,21,23.73,90.27,99.14,431.81,136.19,459.62,36.43,0.22,51.43,68.13,0.75,1,0.7,0.8,0.6,0.75,1,0.6,0.54,0.61,0.71,1,0.8,0.81,0.86,0.67
3,51,2695.8,1330.44,10696.95,9389.42,38,25,28.73,96.04,109.22,450.15,153.97,468.7,44.98,0.37,37.87,86.71,0.44,1,0.73,0.89,0.57,0.64,1,0.57,0.56,0.53,0.67,1,0.89,1,0.98,0.5
3,52,385.93,38.23,7061.68,3580.38,8,3,5.92,58.3,22.02,274.31,38.31,318.31,12.94,0.43,4.38,10.93,0.4,0.55,0.12,0.18,0.05,0.28,0.2,0.05,0.11,0.01,0,0.55,0.18,0.13,0.12,0.42
4,50,4266.28,4847.92,9260.6,8749.7,52,41,35.08,112.56,134.72,420.85,199.26,431.55,63.34,0.42,99.82,42.44,0.43,1,0.81,0.9,0.73,0.81,1,0.9,1,1,0.5,0.91,0.73,0.82,0.65,0.67
4,51,4368.47,4095.16,9252.09,8922.03,54,45,37.01,127.17,135.27,407.43,204.35,407.43,60.61,0.32,90.02,52.98,0.59,1,0.84,0.9,0.77,0.86,0.93,0.9,1,1,0.5,1,0.77,0.92,0.74,0.5
