row,col,mean_var,median_var,max_var,top5_var,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,edge_orientation_conf,row_second_diff,col_second_diff,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score
101,40,450.44,382.4,1210.51,1137.28,28,0,14.33,57.3,55.01,218.57,72.91,218.57,16.9,0.07,26.01,33.41,0.78,0.79,0.44,0.49,0.39,0.79,0.76,0.39,0.31,0.38,0.58,0.79,0.49,0.32,0.52,0.83
101,41,499.39,582.85,1123.01,1022.6,36,0,15.73,44.63,54.21,148.57,75.64,148.57,23.36,0.36,32.29,28.37,0.88,0.78,0.48,0.49,0.46,0.95,0.78,0.49,0.41,0.5,0.67,0.74,0.46,0.48,0.42,0.5
101,42,424.32,280.2,1724.73,1427.41,24,0,13.77,51.41,45.44,164.57,62.54,165.71,21.57,0.49,37.03,17.27,0.47,0.94,0.37,0.47,0.27,0.58,0.94,0.47,0.35,0.48,0.75,0.65,0.27,0.32,0.22,0.25
102,40,657.64,637.46,1559.78,1499.79,39,0,16.31,58.89,63.95,224.86,89.79,224.86,24.31,0.13,40.25,31.08,0.77,0.96,0.54,0.58,0.51,0.88,0.96,0.58,0.51,0.61,0.67,0.85,0.51,0.46,0.46,0.71
102,41,792.74,733.9,1544.22,1519.04,51,0,20.15,55.67,79.23,203.86,106.99,228.0,30.41,0.29,53.5,34.94,0.65,0.88,0.6,0.62,0.59,0.95,0.87,0.62,0.49,0.73,0.71,0.88,0.59,0.57,0.54,0.71
102,42,775.47,807.16,1702.17,1432.49,49,0,20.27,55.17,75.77,210.0,103.16,218.0,32.47,0.36,51.75,29.48,0.57,0.88,0.58,0.64,0.53,0.83,0.88,0.64,0.51,0.69,0.83,0.7,0.53,0.59,0.45,0.54
103,40,391.78,224.75,1348.84,1179.25,27,0,10.21,49.0,38.72,207.0,60.16,207.0,18.81,0.28,23.4,19.17,0.82,0.76,0.36,0.37,0.36,0.97,0.76,0.36,0.35,0.33,0.42,0.65,0.37,0.33,0.26,0.67
103,41,538.15,534.22,1602.77,1488.04,34,0,14.38,55.11,54.69,217.0,74.59,217.0,21.44,0.32,40.58,22.83,0.56,0.85,0.47,0.49,0.45,0.92,0.85,0.49,0.33,0.56,0.75,0.76,0.45,0.4,0.32,0.79
103,42,581.9,492.43,1736.84,1564.26,32,0,16.69,64.22,61.02,227.0,78.48,227.0,27.55,0.52,43.92,18.81,0.43,0.91,0.45,0.56,0.34,0.62,0.91,0.56,0.37,0.6,0.92,0.67,0.34,0.37,0.25,0.46
101,37,452.58,410.52,1313.5,1265.03,30,0,13.52,55.83,54.81,227.5,66.52,227.5,19.11,0.19,20.21,31.59,0.64,0.75,0.37,0.44,0.3,0.68,0.66,0.3,0.28,0.28,0.38,0.75,0.44,0.37,0.44,0.58
101,38,450.72,345.12,1295.04,1155.57,27,0,15.77,44.08,60.06,167.0,77.59,177.0,22.01,0.29,31.99,30.65,0.96,0.84,0.46,0.48,0.44,0.93,0.69,0.44,0.36,0.49,0.54,0.84,0.48,0.42,0.47,0.62
101,39,565.02,638.28,1690.72,1399.48,36,0,17.38,59.44,69.69,261.0,91.15,261.0,23.89,0.1,34.99,44.6,0.78,0.88,0.55,0.62,0.47,0.76,0.88,0.47,0.33,0.5,0.75,0.88,0.62,0.59,0.62,0.71
102,37,805.1,840.46,1749.98,1693.09,45,0,20.15,66.33,70.04,242.65,93.81,242.65,26.65,0.21,35.23,55.62,0.63,0.89,0.62,0.73,0.51,0.7,0.74,0.51,0.41,0.52,0.71,0.89,0.73,0.66,0.83,0.71
102,38,573.7,595.22,1554.99,1324.49,38,0,16.0,50.95,62.5,199.86,85.17,199.86,23.75,0.19,37.1,27.0,0.73,0.83,0.52,0.55,0.48,0.87,0.83,0.55,0.47,0.57,0.71,0.71,0.48,0.51,0.4,0.54
102,39,670.94,744.88,1347.36,1202.23,44,0,18.19,64.22,64.67,230.0,90.41,230.0,26.81,0.28,47.69,29.77,0.62,0.82,0.52,0.57,0.48,0.83,0.82,0.57,0.46,0.67,0.67,0.81,0.48,0.39,0.45,0.71
103,37,409.93,351.3,1189.06,1158.34,27,0,11.32,60.99,39.52,215.43,54.07,222.08,18.0,0.48,27.33,18.81,0.69,0.93,0.36,0.42,0.29,0.7,0.93,0.42,0.4,0.4,0.5,0.67,0.29,0.23,0.25,0.5
103,38,415.39,128.19,1419.11,1278.7,25,0,10.01,48.78,35.24,189.0,57.1,189.0,18.14,0.39,28.02,14.44,0.52,0.86,0.33,0.41,0.26,0.64,0.86,0.41,0.35,0.42,0.5,0.44,0.26,0.25,0.17,0.42
